Username,Handle,Timestamp,Comments,Likes,Retweets,Text
mari (conta reserva),@meloannamari,2021-11-29T16:31:57.000Z,"mari (conta reserva)Em resposta a 
@AnaPaulaVolei
 e 
@elizabe23716458",,,
LUIZ CARLOS JUNIOR,@luizcarlosjrU5,2021-11-29T16:27:40.000Z,"LUIZ CARLOS JUNIOREm resposta a 
@xicosa",,,
grazielle lana,@lana_grazielle,2021-11-29T16:26:16.000Z,grazielle lanaRodrigo Santoro nunca precisou da Lei ROUANET. É o artista brasileiro mais conhecido em Hollywood. Taí a diferença!...,2,6,23
Carlos Alberto,@CarlosA76647341,2021-11-29T16:18:57.000Z,"Carlos AlbertoPAULO BETTI FAZ ATAQUE CRIMINOSO A WEVERTON E O COMPARA COM GOLEIRO BRUNO 
https://jornaldacidadeonline.com.br/noticias/34785/paulo-betti-faz-ataque-criminoso-a-weverton-e-o-compara-com-goleiro-bruno… 
Rancoroso como todo ‘órfão da Lei Rouanet’",8,,2
Caça aos Canalhas,@TiaDuhZap,2021-11-29T16:16:46.000Z,"Caça aos CanalhasEm resposta a 
@LucianoHangBr
 e 
@jdoriajr",,,
Regina Fortes,@ReginaFortes7,2021-11-29T16:16:25.000Z,Regina FortesLeite da Leite secou. Lei Rouanet  acabou pra essas folgadas. Agora é trabalhar sem nosso dinheiro. Leite e Mercury  aproveitando o desgoverno do prefeito de São Paulo  que nem foi eleito pra mamar mais um pouco.,,,
Adilson Zampirolli,@A_Zampirolli,2021-11-29T16:16:11.000Z,"Adilson Zampirolli@paulobetti3
 Fica aí na sua esperando lei rouanet, incapaz que a sociedade tem que aturar.",,,
Jornal da Cidade Online,@JornalDaCidadeO,2021-11-29T15:54:31.000Z,Jornal da Cidade OnlineRancoroso como todo ‘órfão da Lei Rouanet’,254,799,"4,1 mil"
O exterminador de JUMENTOS,@oarticulador2,2021-11-29T15:53:46.000Z,"O exterminador de JUMENTOSIsso chama-se abstinência de recursos da Lei Rouanet...

Deve está na pitimba e quer descontar no Governo !!

Só mais um VERME/CANALHA, insatisfeito por não ter TÊTA pra mamar...

rsrsrsrsrsr",,,1
OI MEU CHAPA,@SealerSlayer2,2021-11-29T15:52:55.000Z,"OI MEU CHAPAEm resposta a 
@otavi0XI",,,
Luciano TA,@AraujoCFC,2021-11-29T15:52:35.000Z,"Luciano TAEm resposta a 
@teresa_neris
 e 
@ClaudeLuca_",,,
Luciano TA,@AraujoCFC,2021-11-29T15:50:46.000Z,"Luciano TAEm resposta a 
@ClaudeLuca_",,,
Giovani Souza MS.,@GiovanisouzaMS,2021-11-29T15:50:09.000Z,"Giovani Souza MS.Em resposta a 
@euandersonlimaa
 e 
@capitaoderrite",1,,
Deinha BB,@Deiabb,2021-11-29T15:50:07.000Z,"Deinha BBEm resposta a 
@AGMartins3",,,
Valerio Mendes,@ValerioMendes6,2021-11-29T15:49:44.000Z,"Valerio MendesEm resposta a 
@oiIuiz",,,
Tayrone Rodrigues,@protectcenter,2021-11-29T15:45:17.000Z,"Tayrone RodriguesEm resposta a 
@UOLNoticias",1,,
Uramesh Ssa,@urameshssa,2021-11-29T15:39:43.000Z,"Uramesh SsaEm resposta a 
@rafaelbboa",,,
Robson,@BinhoGua,2021-11-29T15:38:08.000Z,"RobsonEm resposta a 
@AnaPaulaVolei
 e 
@alfeubruno2228",,,
BRS Brasileiro Patriota,@eng_quimico_br,2021-11-29T15:38:07.000Z,"BRS Brasileiro PatriotaEm resposta a 
@fabiofaria
 e 
@jdoriajr",,,
Bauer_1577,@Glb883,2021-11-29T15:38:03.000Z,"Bauer_1577Órfãos da lei Rouanet e lacradores do ""Ele não"" 
 e ""Fica em casa"", escancarando sua hipocrisia.

Acabei de ler no http://Pleno.News",,1,
jotaceme,@jotaceme1,2021-11-29T15:35:34.000Z,"jotacemeEm resposta a 
@JornalDaCidadeO",,,
todos com bolsonaro 2026 oliveira gomes,@2022Todos,2021-11-29T15:33:57.000Z,todos com bolsonaro 2026 oliveira gomesVeja os lacradores procura a ficha se alguém pegou grana da lei Rouanet,,,1
Jorge Santos,@JorgeSa09106523,2021-11-29T15:14:38.000Z,"Jorge SantosEm resposta a 
@oiIuiz",,,
Tânia noborikawa,@Tnianoborikawa3,2021-11-29T15:10:21.000Z,"Tânia noborikawaEm resposta a 
@ClaudiaLeitte",,,
Maria Neris,@teresa_neris,2021-11-29T15:09:38.000Z,"Maria NerisEm resposta a 
@ClaudeLuca_",3,1,2
TACIMAR,@TacimarHoendel,2021-11-29T14:57:09.000Z,"TACIMAREm resposta a 
@ClaudiaLeitte
 e 
@TheVoiceBrasil",,1,7
"Rafael Brunetti (Patriota,conservador)",@BrunettiRafael,2021-11-29T14:56:10.000Z,"Rafael Brunetti (Patriota,conservador)Xeque-Mate: Mario Frias abre caixa-preta da Lei Rouanet e mostra indícios de irregularidades",,,
Imprensa Brasil,@ImprensaBrasil1,2021-11-29T14:56:05.000Z,Imprensa BrasilXeque-Mate: Mario Frias abre caixa-preta da Lei Rouanet e mostra indícios de irregularidades,,,2
ghostwriter de Pressentido Bilau,@Kotonoaware,2021-11-29T14:44:15.000Z,"ghostwriter de Pressentido BilauEm resposta a 
@coalacroata",,,1
Rosemara Ferraz,@rosesferraz01,2021-11-29T14:38:10.000Z,"Rosemara FerrazEm resposta a 
@ricardobolsobr",,,1
samico,@samico22001904,2021-11-29T14:36:49.000Z,"samicoEm resposta a 
@carloscezarcjr
 e 
@verdeamarelou",,,
Eliane Berrocal,@BerrocalEliane,2021-11-29T14:30:20.000Z,"Eliane BerrocalEm resposta a 
@MoacirJosAlves4
 @juliocasarim1
 e 
@aguilarvctr",29,,4
Bobo Bot,@TheBoBoBot,2021-11-29T14:29:40.000Z,Bobo Bot- Projeto de Lei Rouanet que jamais poderia ter iniciado a vacinação contra a Covid-19;,,,
Moises,@MoisesoliveirDe,2021-11-29T14:28:59.000Z,MoisesMe parece que esses institutos de pesquisas mamavam nas tetas da lei rouanet.,,,
Paulo Sérgio Verne,@PauloVerne,2021-11-29T14:24:01.000Z,"Paulo Sérgio VerneEm resposta a 
@prreis
 e 
@CrapulaLeonardo",,,
Osvaldo Soranna,@osvaldosoranna,2021-11-29T14:16:36.000Z,"Osvaldo SorannaEm resposta a 
@PacoBelmonte_
 e 
@paulobetti3",,,
Ana Melo,@AmeloJp,2021-11-29T14:16:09.000Z,"Ana MeloÉ a hipocrisia dos que mamavam na ""lei Rouanet ""

A patota do ""fica em casa"" e do quanto pior melhor ",,,
Joao Paulo Ribas,@JoaoPaulo1206,2021-11-29T13:58:58.000Z,"Joao Paulo RibasPaulo Betti , ator global da extrema esquerda, compara o goleiro campeão e evangélico do Palmeiras a um assassino. Isso explica tudo sobre a #GloboLixo , sobre a esquerda brasileira e sobre os órfãos da Lei Rouanet",,2,1
Marcos Vinicius - Página CERTIFICADA NÃO ROBÔ,@CorreaAssis,2021-11-29T13:56:52.000Z,"Marcos Vinicius - Página CERTIFICADA NÃO ROBÔ@BolsonaroSP
 Lembra que a Claudia Leite ficou de devolver o dinheiro da Lei Rouanet do Livro dela?",,3,5
HENRIQUE DUARTE,@HENRIQU84142481,2021-11-29T13:56:02.000Z,"HENRIQUE DUARTEDANIELA,  IVETE,  CLAUDIA LEITE, GILBERTO GIL.....
=O QUE IMPORTA É A LEI ROUANET",,,
Edson Fröhlich,@FrohlichEdson,2021-11-29T13:53:36.000Z,"Edson FröhlichEm resposta a 
@oiIuiz",,,
Claudio Olival Rodrigues,@claudio_olival,2021-11-29T13:53:31.000Z,"Claudio Olival RodriguesSabe pq existe os ditadores? Pq vc deixa!
Nunca foi pela saúde!
E olha a hipocrisia dos artistas, órfãos da Lei Rouanet!
Aqui uma msg a 
@camaradeputados
 : 

#NaoaLeiPauloGustavo",,,1
Alexander,@Alex12783677,2021-11-29T13:52:19.000Z,"AlexanderEm resposta a 
@oficial_XUXA",,,
Marlon #Patriota,@marlon2016vix,2021-11-29T13:50:15.000Z,Marlon #PatriotaHipocrisia total desse pessoal do “fica em casa” que não contam mais com a Lei Rouanet #ClaudiaLeiteGenocida,,1,1
Teodoro,@Teodoro77593268,2021-11-29T13:45:35.000Z,"TeodoroNão existe mulher feia.
Existe mulher sem acesso a produtos de beleza ""Lei Rouanet"".",1,2,8
The Prophet,@Br_Prophet,2021-11-29T13:41:33.000Z,"The ProphetNunca foi pela saúde,  sempre foi pela lei Rouanet!
#ClaudiaLeiteGenocida",,,2
Flávia s,@Flvias76938678,2021-11-29T13:40:18.000Z,Flávia sA rainha da Lei Rouanet quer seu bem ... Confia! Kkkkkkkk,,,
Cenas1,@CENAS110,2021-11-29T13:30:16.000Z,"Cenas1Em resposta a 
@brom_elisa",1,,
Kelly Sanchez ꧁✦⃢✦ᡃ⃟ᡃ⃟ᡃ⃟ᡃ⃟ᡃᡃᡃ⃟ᡃ⃟ᡃ 𐦐꧂,@kellypstorres,2021-11-29T13:27:29.000Z,"Kelly Sanchez ꧁✦⃢✦ᡃ⃟ᡃ⃟ᡃ⃟ᡃ⃟ᡃᡃᡃ⃟ᡃ⃟ᡃ 𐦐꧂Em resposta a 
@demmers_edmir",,,2
Paulo De Tarso,@PauloDe97899276,2021-11-29T13:23:57.000Z,"Paulo De TarsoEm resposta a 
@ClaudeLuca_",,,2
Adilson Vargas,@adilsonvargas,2021-11-29T13:22:15.000Z,"Adilson VargasEstes são os TERNEIROS da lei Rouanet fizeram apenas movimentos políticos e não por saúde e cuidado. HIPOCRISIA É POUCO! 
@ClaudiaLeitte
 @danielamercury",,,
Onílio Martins,@MartinsOnilio,2021-11-29T13:17:13.000Z,"Onílio MartinsEm resposta a 
@bernardokuster2",,,
Alexandro Rebello,@AlexandroRebel1,2021-11-29T13:00:16.000Z,"Alexandro RebelloA República do acarajé  é a turma que monopolizaram a lei rouanet (Daniela, Gil, Caetano, Carlinhos...), juntos com os artistas do projaquistão fizeram a campanha do ""elenão"" e ""fiqueemcasa"" agora querem Carnaval para encher os bolsos de dinheiro novamente. #ClaudiaLeiteGenocida",2,8,19
Nelly,@NeliBarbosaSan1,2021-11-29T12:56:59.000Z,"NellyEm resposta a 
@NeliBarbosaSan1
 e 
@NunnesVitor",,,
Luciana,@Luciana74832340,2021-11-29T12:56:44.000Z,"LucianaEm resposta a 
@ludmilagrilo
 e 
@gusttavo_lima",,,1
Rogério Araújo,@Rogermax34,2021-11-29T12:54:55.000Z,"Rogério AraújoEm resposta a 
@POPline
 e 
@ClaudiaLeitte",,1,1
Sérgio Costa Andrade,@SrgioCostaAndr1,2021-11-29T12:53:40.000Z,"Sérgio Costa AndradeEm resposta a 
@NeliBarbosaSan1",,,1
Thiago De Souza,@thiagodesouza04,2021-11-29T12:51:05.000Z,"Thiago De SouzaEm resposta a 
@betaloe",,,
Wilton Pereira,@WiltonP00665861,2021-11-29T12:47:59.000Z,"Wilton PereiraPegar milhões da lei Rouanet, dinheiro público que poderia ser investido em escolas e hospitais, isso sim mata artistas nojentos sangue sugas",,,1
Nelma Barros,@NelmaBarros12,2021-11-29T12:44:00.000Z,"Nelma Barros#ClaudiaLeiteGenocida 
Multa só pra conservador q é contra os assaltos,corrupção de políticos ao país, artistas q usavam a lei ROUANET pra enriquecer. Usurpadores do país podem fazer o q quiser, estão juntos com a proteção dos togados",1,3,9
O exterminador de JUMENTOS,@oarticulador2,2021-11-29T12:37:21.000Z,"O exterminador de JUMENTOS@paulobetti3
 

Insensibilidade sua, ao twitar a respeito dos atletas do PALMEIRAS.
Não passa de oportunismo, pois está julgando uma pessoa, a comparando ao erro de outra pessoa...
Sua frustração, por ter perdido a TÊTA DA LEI ROUANET, o faz atirar pra tudo que é lado.",,,
joseaimiri,@joseaimiri,2021-11-29T12:35:26.000Z,"joseaimiriEm resposta a 
@zehdeabreu
 e 
@LulaOficial",,,
Maria Gorete,@MariaGo55185272,2021-11-29T12:34:22.000Z,Maria GoreteGraças a Deus acabou a lei rouanet!!,,,
Well100,@Well1005,2021-11-29T12:33:00.000Z,"Well100Em resposta a 
@VanessaMartinu2
 @itsmynewmotto
 e 
@Medusinhah",,,
Rosi CK,@RosinetiCarval1,2021-11-29T12:32:40.000Z,"Rosi CKAs Genocidas da Lei Rouanet
#ClaudiaLeitteGenocida
#DanielaMercuryGenocida",1,,1
R.......,@Rafael04012392,2021-11-29T12:32:12.000Z,"R.......Em resposta a 
@xicosa
 e 
@jornalnacional",,,
JOSIMAR,@JosimarPrf,2021-11-29T12:30:12.000Z,"JOSIMAREsse ator fracassado 
@paulobetti3
, um sanguessuga dos recursos públicos,  via Lei Rouanet, é um sujeito desprezível e insignificante. Só por ser ATEU não lhe dá o direito de satirizar a fé alheia.",,,
Isabel Cristina com CPF - em 2022 é 22,@isacrisborb,2021-11-29T11:55:50.000Z,"Isabel Cristina com CPF - em 2022 é 22Em resposta a 
@ClaudeLuca_
 e 
@FATIMAA80856038",,1,2
Bolsonaro_Gelde,@BolsonaroGelde,2021-11-29T11:54:47.000Z,Bolsonaro_GeldeLei Rouanet a Hipocrisia dos artistas lacradores,,1,1
Bolsonaro_Gelde,@BolsonaroGelde,2021-11-29T11:53:55.000Z,"Bolsonaro_GeldeMamadoras da Lei Rouanet agora estão de olho na Lei Paulo Gustavo, outra lacração sendo criada",,,1
Alex Willmersdorf,@Alex1932SP,2021-11-29T11:52:17.000Z,"Alex WillmersdorfEm resposta a 
@danielamercury
 e 
@maluvercosa",,,
Adriano,@Adriano79806069,2021-11-29T11:50:00.000Z,"AdrianoEra tudo pela lei Rouanet...

#ClaudiaLeitte
#DanielaMercuryGenocida
#ClaudiaLeiteGenocida",,,1
*C@®LOS SOUZ@.*,*C@®LOS SOUZ@.*,2021-11-29T11:47:40.000Z,"*C@®LOS SOUZ@.*Os artistas da Globo.
Lei Rouanet voltou /// Lei Roamet acabou.",,,
Otinho Oliveira,@OliveiraOtinho,2021-11-29T11:32:29.000Z,"Otinho OliveiraEm resposta a 
@Estadao
 e 
@EstadaoCultura",1,,
Edgard Khouri,@EdgardKhouri,2021-11-29T11:30:34.000Z,"Edgard Khouri@andreporci
, A Claudia Leite, não tinha que devolver um certo valor  da lei Rouanet? Ela devolveu? Ela deve estar com dinheiro, afinal está fazendo shows!!!",,,
꧁ Denise ꧂ RJ,@Bolsonarita_,2021-11-29T11:30:28.000Z,"꧁ Denise ꧂ RJEm resposta a 
@newssette",,,11
꧁ Denise ꧂ RJ,@Bolsonarita_,2021-11-29T11:28:58.000Z,"꧁ Denise ꧂ RJEm resposta a 
@ludmilagrilo",,,
Paulo Augusto Saint'Clair Igreja,@AugustoIgreja,2021-11-29T11:28:24.000Z,"Paulo Augusto Saint'Clair IgrejaEm resposta a 
@carla_silva2010",,,
Otaviocesar,@OtavioMTMG,2021-11-29T11:26:38.000Z,"OtaviocesarEm resposta a 
@oiIuiz",,,
Carlos Magno,@CarlosM85779705,2021-11-29T11:16:30.000Z,"Carlos MagnoEm resposta a 
@ClausiusMarra",2,,3
Valdir Pedrosa - IMUNIZADO,@ValdirPedrosa,2021-11-29T11:14:23.000Z,"Valdir Pedrosa - IMUNIZADOEm resposta a 
@Sonia30298323
 e 
@newssette",,,
Ortiga Ortiz,@OrtigaOrtiz,2021-11-29T11:00:30.000Z,"Ortiga OrtizEm resposta a 
@kapitu_rebelde",,,
Joker,@Coringa080808,2021-11-29T10:56:30.000Z,"JokerEm resposta a 
@danielamercury",,,
Regina Fortes,@ReginaFortes7,2021-11-29T10:56:20.000Z,Regina FortesSecou o leite da mamadeira da Leite. Lei Rouanet ficou na saudade. Agora vai mamar no dinheiro dos trabalhadores paulistas com o apoio do Agripino Dória ou no dinheiro chinês?,,,
Anderson Garcia Rodrigues,@Anderso02942326,2021-11-29T10:49:37.000Z,Anderson Garcia RodriguesO chororo dessas duas em fim de carreira é pela falta de verba da LEI ROUANET .#ClaudiaLeiteGenocida,,,
Regina Fortes,@ReginaFortes7,2021-11-29T10:48:58.000Z,"Regina FortesUm pilantra, candidato do PCC chinês  e uma oportunista que mora nos EEUU e vivia do dinheiro da Lei Rouanet.  Estão bem juntos. Garanto que  um não confia no outro, na primeira oportunidade haverá traição.  Ambos defendiam o ""fique em casa, a economia se vê depois"".",,,
Marcos Pereira,@Mar_pe_an,2021-11-29T10:43:57.000Z,"Marcos PereiraNunca foi pela saúde do povo brasileiro!

Quando não era para voltar o patrocínio da Lei Rouanet,era para voltar o gasto em Publicidade e Propaganda que nos Estados nunca parou,continuando a compra de apoio! 
@g1
 @iG
@folha
 @VEJA
 @UOL
 @jornalnacional
Evento em São Paulo - 27.11.21",,1,2
Regina Fortes,@ReginaFortes7,2021-11-29T10:42:57.000Z,"Regina FortesO ""leitinho "" da Lei Rouanet na mamadeira acabou. Essa oportunista teve o apoio do Agripino Dória pra fazer esse show.  Ela e Daniela Mercury. Troca de favores pq não têm talento?",,,1
Regina Fortes,@ReginaFortes7,2021-11-29T10:38:56.000Z,"Regina FortesSecou a mamadeira da Lei Rouanet,  não é? Nosso dinheiro agora é bem controlado. Cláudia Leite, Daniela Mercury agora terão que trabalhar por conta própria.",,,
SueliRizzi3,@SueliRizzi3,2021-11-29T10:37:01.000Z,"SueliRizzi3Em resposta a 
@MachadoSonia
 @GamalielChagas
 e 
@danielamercury",1,,1
Regina Fortes,@ReginaFortes7,2021-11-29T10:35:34.000Z,Regina FortesSem contar que essas artistas estão se unindo a qq um da esquerda pq ficaram iradas com o corte da mamadeira na Lei Rouanet.  É isso.,,,
Regina Fortes,@ReginaFortes7,2021-11-29T10:33:21.000Z,Regina FortesÉ sempre bom caírem máscaras de pano e do caráter  dessa turma que não pensa nem age a favor do Brasil.  As duas cantoras se beneficiaram do dinheiro da Lei Rouanet e estão histéricas pq a Lei mudou. Elas são tão boas artistas...sobreviverão sem nosso dinheiro.,,,
Paulo Sardinha do nascimento,@PauloSardinhad1,2021-11-29T10:30:55.000Z,"Paulo Sardinha do nascimentoEm resposta a 
@xuxameneghel",,,
Jaccool,@jaccool4,2021-11-29T10:06:20.000Z,"JaccoolEm resposta a 
@LeoDeJudah1",,,
SÉRGIO 2,@SergioKraemer2,2021-11-29T10:03:07.000Z,"SÉRGIO 2Em resposta a 
@TalitaDosReyes
 e 
@ClaudiaLeite",,1,1
Vinimzo,@vinimzo,2021-11-29T09:47:18.000Z,"VinimzoE a gente aqui reclamando da Lei Rouanet, matando a indústria do audiovisual a pauladas e fazendo pouco da Anitta tentando carreira fora.

Exportar cultura é um dos caminhos.",,1,7
Gianpaulo Scaciota,@GianSca1970,2021-11-29T09:45:37.000Z,"Gianpaulo ScaciotaEm resposta a 
@JoaquinTeixeira
 e 
@paulobetti3",,,
Anderson Almeida De Souza,@Anderso12835736,2021-11-29T09:43:47.000Z,Anderson Almeida De SouzaOs órfãos da Lei Rouanet,,,1
Claudia Junqueira Reis,@ClaudiaJunquei5,2021-11-29T09:42:41.000Z,"Claudia Junqueira ReisEm resposta a 
@ludmilagrilo
 e 
@gusttavo_lima",,,
Alex_Werdan,@WerdanAlex,2021-11-29T09:42:00.000Z,"Alex_WerdanEm resposta a 
@domlancellotti",,,4
Guerreiro De Bolsonaro 2,@GuerreiroDeBol2,2021-11-29T09:41:46.000Z,"Guerreiro De Bolsonaro 2Na verdade ela quer a volta das farras via lei Rouanet, agora via governos estaduais",,,3
R.......,@Rafael04012392,2021-11-29T09:30:42.000Z,"R.......Em resposta a 
@xicosa",,,
manoel vieira dos sa,@manoelseg41,2021-11-29T09:29:40.000Z,"manoel vieira dos saEm resposta a 
@carlosjordy
 e 
@LaFenix61",,,
Edna Saviano,@SavianoEdna,2021-11-29T09:22:03.000Z,Edna SavianoMamou muito na lei Rouanet...,,,
Paulo Avelino Oliveira,@AvelinoOl1,2021-11-29T09:18:43.000Z,"Paulo Avelino OliveiraCLÁUDIA LEITE QUERO DE VOLTA OS NOSSO 5 MILHÕES DA LEI ROUANET
ROUANET NÃO ROUANET NÃO ROUANET NÃO ROUANET NÃO ROUANET NÃO ROUANET NÃO",,1,1
Marcelo Gil,@BaraodeAraruama,2021-11-29T08:51:53.000Z,"Marcelo GilEm resposta a 
@reportersalles
 e 
@ClaudiaLeitte",1,1,2
Cesinhacck,@Cesinhacck1,2021-11-29T08:33:31.000Z,"CesinhacckEm resposta a 
@PATRlOTAS",,,
Paulo Sardinha do nascimento,@PauloSardinhad1,2021-11-29T08:01:29.000Z,"Paulo Sardinha do nascimentoEm resposta a 
@danielamercury",,,
Fernando Caçador de Comunistas,@ferando64,2021-11-29T06:07:20.000Z,"Fernando Caçador de ComunistasCobrar o que deve Lei Rouanet né Se. 
@mfriasoficial",,,
Fernando Caçador de Comunistas,@ferando64,2021-11-29T06:06:44.000Z,Fernando Caçador de ComunistasTá devendo a Lei Rouanet tá  a hora de contar né,,,
Birolira,@tatiollii,2021-11-29T05:57:54.000Z,"BiroliraEm resposta a 
@henriolliveira_",,,
Fitness assintomático,@jeaoguedes,2021-11-29T04:51:31.000Z,"Fitness assintomáticoEm resposta a 
@danilo_dias27
 e 
@nostrendsbrasil",1,,2
Ana Rocha,@Ana4245rp,2021-11-29T04:27:24.000Z,"Ana RochaEm resposta a 
@RodrigoLana8
 @carlosjordy
 e 
@mmvilasboas",1,,
Darlyanne,@vigorosa21,2021-11-29T04:23:45.000Z,"DarlyanneEm resposta a 
@danilo_dias27
 e 
@nostrendsbrasil",,,
ricardoborelli,@ricardoborelli,2021-11-29T04:12:58.000Z,"ricardoborelliEm resposta a 
@_eddjr
 e 
@MRodriguez02",1,,
Edin,@_eddjr,2021-11-29T04:02:28.000Z,"EdinEm resposta a 
@ricardoborelli
 e 
@MRodriguez02",1,,
pcmorumbi,@pcmorumbi1,2021-11-29T03:58:29.000Z,"pcmorumbiEm resposta a 
@RoboB17Reserva",,,
acervo,@reactacervo,2021-11-29T03:54:25.000Z,acervofoto pabllo vittar lei rouanet conversa whatsapp presidente,,,
VanessaOL (G.D.O),@Vanessaol7,2021-11-29T03:38:49.000Z,"VanessaOL (G.D.O)Em resposta a 
@ynasor",,,1
Gustavo Sales,@GustaSales93,2021-11-29T03:30:15.000Z,"Gustavo SalesEm resposta a 
@sweetmilkcl",,,4
Carla,@Carla46865811,2021-11-29T03:29:21.000Z,"CarlaEm resposta a 
@betaloe
 @_eddjr
 e mais 2",1,,1
Beta,@betaloe,2021-11-29T03:22:29.000Z,"BetaEm resposta a 
@Carla46865811
 @_eddjr
 e mais 2",2,,1
Miguel Reis Junior R,@thereisjunior,2021-11-29T03:14:01.000Z,"Miguel Reis Junior RComo faz falta a lei Rouanet, da pena dessas mulheres o problema é só um não valem nada são comunista disfarça querendo dinheiro fácil essas hipócritas",,,
Cavalo Bolsominion,@CavaloMini0n,2021-11-29T02:31:25.000Z,"Cavalo BolsominionEm resposta a 
@GugaNoblat",,,
Ro,@ro_patriaamada,2021-11-29T02:25:49.000Z,"RoEm resposta a 
@renatolovesya
 @w3lovecl
 e 
@brom_elisa",1,,
Sandra Regina,@KuiaFrank,2021-11-29T02:20:12.000Z,"Sandra ReginaEm resposta a 
@CarlaZambelli38
 e 
@jdoriajr",,,
Débora Araújo,@DSAraujo26,2021-11-29T02:13:51.000Z,"Débora AraújoEm resposta a 
@ludmilagrilo
 e 
@gusttavo_lima",1,3,69
JUSTICEIRO -SDV,@JOSEVIEIRAGOME5,2021-11-29T02:11:16.000Z,"JUSTICEIRO -SDVEm resposta a 
@mitojbw",,,1
paulo xisto,@pauloxisto,2021-11-29T02:08:35.000Z,"paulo xistoEm resposta a 
@AnaPaulaVolei",,,
Adalbertoimbrosio,@aimbrosio,2021-11-29T02:02:10.000Z,"AdalbertoimbrosioEm resposta a 
@AnaPaulaVolei",1,6,49
SPnato,@JSJuniorr,2021-11-29T01:59:46.000Z,"SPnatoEm resposta a 
@rodd__serling
 @RKolefski
 e 
@paulobetti3",,,4
Georgia D França,@GeorgiaDFranca,2021-11-29T01:58:53.000Z,"Georgia D FrançaEm resposta a 
@newssette",,,1
Sandra Regina,@KuiaFrank,2021-11-29T01:57:33.000Z,"Sandra ReginaEm resposta a 
@carlosjordy",,,
Armando G. M,@AGMartins3,2021-11-29T01:54:49.000Z,"Armando G. MEsses “artistas” nunca tiveram preocupações sanitárias, apenas com a torneira da Lei Rouanet que secou.",,,10
Robson Perbeline,@PerbelineRobson,2021-11-29T01:53:47.000Z,"Robson PerbelineEm resposta a 
@seabra_savio",2,,
Robson Perbeline,@PerbelineRobson,2021-11-29T01:47:05.000Z,"Robson PerbelineEm resposta a 
@wallisonbezerra",,,3
Gustavoᶜʳᶠ,@GustavoSodr19,2021-11-29T01:46:20.000Z,"GustavoᶜʳᶠEm resposta a 
@iacyferreira
 e 
@L_Pedrosa89",,,2
Paulo Miguel Esdacheti,@esdacheti,2021-11-29T01:46:11.000Z,"Paulo Miguel EsdachetiEm resposta a 
@UOLNoticias",,,
Paulo Miguel Esdacheti,@esdacheti,2021-11-29T01:45:34.000Z,"Paulo Miguel EsdachetiEm resposta a 
@UOLNoticias",,,
Max,@alklein53,2021-11-29T01:45:25.000Z,"Max#ClaudiaLeitteGenocida acabou o pandemônio chinês ? não , acabou a mamata da lei Rouanet ? sim",,,1
Paulo Miguel Esdacheti,@esdacheti,2021-11-29T01:44:46.000Z,"Paulo Miguel EsdachetiEm resposta a 
@UOLNoticias",,,
Paulo Miguel Esdacheti,@esdacheti,2021-11-29T01:41:05.000Z,"Paulo Miguel EsdachetiEm resposta a 
@cartacapital",,,
Paulo Miguel Esdacheti,@esdacheti,2021-11-29T01:40:23.000Z,"Paulo Miguel EsdachetiEm resposta a 
@cartacapital",,,
Lúcia de Azevedo. #PassaporteSanitárioNão,@luciaazevedo,2021-11-29T01:34:05.000Z,"Lúcia de Azevedo. #PassaporteSanitárioNãoSerá que #ClaudiaLeitteGenocida com o cachê de ontem irá devolver o que deve pelo uso indevido da Lei Rouanet 
@mfriasoficial
 ?! ",1,,
THIAGO,@thiagochina79,2021-11-29T01:30:40.000Z,"THIAGOFica em casa sua hipócrita , vc e toda esses papa lei Rouanet.     #ClaudiaLeitteGenocida",,,
César de Barros,@CsardeBarros3,2021-11-29T01:28:41.000Z,"César de BarrosEm resposta a 
@ligiagambol
 e 
@ngsampa",,2,7
OLIVACI JÚNIOR,@Olivaci77,2021-11-29T01:27:59.000Z,"OLIVACI JÚNIOREm resposta a 
@karenmourasc",,,1
Sir Lancelot #FICACUCA,@BErratico,2021-11-29T01:27:49.000Z,Sir Lancelot #FICACUCAVagabunda da lei Rouanet.,,,1
Adriano,@adriano_soares,2021-11-29T01:24:42.000Z,"AdrianoEm resposta a 
@adriano_soares
 @marcio_direita
 e 
@VlogdoLisboa",,,1
Armando G. M,@AGMartins3,2021-11-29T01:24:10.000Z,"Armando G. MEsses “lacradores”choravam pela falta das mamatas da Lei Rouanet 

O Estado de São Paulo criando condições para nova tragédia de Covid e as autoridades caladas. Pretendem jogar o Brasil no caos para tentarem criar ambiente eleitoral? 
@jdoriajr
 
@governosp
 @univisa_anvisa",1,2,3
Paulo Miguel Esdacheti,@esdacheti,2021-11-29T01:22:46.000Z,"Paulo Miguel EsdachetiEm resposta a 
@Miltonneves",,,
Ricardo R. Chaves,@RicardoRChaves1,2021-11-29T00:41:31.000Z,"Ricardo R. ChavesEm resposta a 
@BolsoMito380
 e 
@carlsou",,,
Poliana De melo Andrades,@PolianaDemeloA1,2021-11-29T00:35:02.000Z,"Poliana De melo AndradesEm resposta a 
@dadacoelho
 e 
@paulobetti3",,,2
Norberto,@nofralo,2021-11-29T00:31:57.000Z,NorbertoAntes com a lei rouanet e após a mamata acabar!,,,
JuniorCobain77,@Junior77Ricardo,2021-11-29T00:27:22.000Z,"JuniorCobain77Em resposta a 
@JoaquinTeixeira
 e 
@paulobetti3",,,
